image,status,field_exact_match_accuracy,critical_field_exact_match_accuracy,full_label_exact_match,cer,wer
001_blur.jpg,SUCCESS,1.0,1.0,True,135.0,17.0
002_blur.jpg,SUCCESS,1.0,1.0,True,139.0,17.0
003_damaged.jpg,SUCCESS,1.0,1.0,True,133.0,17.0
004_reflection.jpg,SUCCESS,1.0,1.0,True,150.0,19.0
005_blur.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
006_rotated.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
007_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,126.0,16.0
008_reflection.jpg,SUCCESS,1.0,1.0,True,149.0,19.0
009_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,137.0,17.0
010_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,128.0,16.0
011_rotated.jpg,SUCCESS,1.0,1.0,True,124.0,16.0
012_rotated.jpg,SUCCESS,1.0,1.0,True,147.0,19.0
013_small_text.jpg,SUCCESS,1.0,1.0,True,133.0,17.0
014_damaged.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
015_small_text.jpg,SUCCESS,1.0,1.0,True,130.0,17.0
016_small_text.jpg,SUCCESS,1.0,1.0,True,153.0,19.0
017_clear.jpg,SUCCESS,1.0,1.0,True,127.0,16.0
018_dark.jpg,SUCCESS,1.0,1.0,True,135.0,17.0
019_dark.jpg,SUCCESS,0.8571428571428571,0.75,False,132.0,17.0
020_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,147.0,19.0
021_clear.jpg,SUCCESS,1.0,1.0,True,128.0,17.0
022_clear.jpg,SUCCESS,0.8571428571428571,0.75,False,131.0,17.0
023_dark.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
024_clear.jpg,SUCCESS,1.0,1.0,True,143.0,19.0
025_blur.jpg,SUCCESS,1.0,1.0,True,129.0,16.0
026_damaged.jpg,SUCCESS,1.0,1.0,True,132.0,17.0
027_damaged.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
028_rotated.jpg,SUCCESS,1.0,1.0,True,152.0,19.0
029_rotated.jpg,SUCCESS,1.0,1.0,True,132.0,17.0
030_rotated.jpg,SUCCESS,1.0,1.0,True,132.0,17.0
031_damaged.jpg,SUCCESS,1.0,1.0,True,129.0,16.0
032_small_text.jpg,SUCCESS,0.8571428571428571,0.75,False,147.0,19.0
033_dark.jpg,SUCCESS,1.0,1.0,True,133.0,17.0
034_blur.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
035_dark.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
036_small_text.jpg,SUCCESS,1.0,1.0,True,152.0,19.0
037_small_text.jpg,SUCCESS,1.0,1.0,True,132.0,17.0
038_clear.jpg,SUCCESS,1.0,1.0,True,138.0,17.0
039_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,128.0,16.0
040_small_text.jpg,SUCCESS,1.0,1.0,True,147.0,19.0
041_small_text.jpg,SUCCESS,1.0,1.0,True,139.0,17.0
042_small_text.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
043_vietnamese_mixed.jpg,SUCCESS,0.8571428571428571,0.75,False,130.0,17.0
044_clear.jpg,SUCCESS,1.0,1.0,True,142.0,18.0
045_clear.jpg,SUCCESS,1.0,1.0,True,124.0,16.0
046_dark.jpg,SUCCESS,1.0,1.0,True,131.0,17.0
047_clear.jpg,SUCCESS,1.0,1.0,True,139.0,17.0
048_rotated.jpg,SUCCESS,1.0,1.0,True,151.0,19.0
049_rotated.jpg,SUCCESS,1.0,1.0,True,135.0,17.0
050_damaged.jpg,SUCCESS,1.0,1.0,True,130.0,17.0
051_blur.jpg,SUCCESS,1.0,1.0,True,133.0,17.0
052_clear.jpg,SUCCESS,1.0,1.0,True,143.0,18.0
053_blur.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
054_reflection.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
055_small_text.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
056_blur.jpg,SUCCESS,1.0,1.0,True,148.0,19.0
057_damaged.jpg,SUCCESS,1.0,1.0,True,133.0,17.0
058_reflection.jpg,SUCCESS,1.0,1.0,True,138.0,17.0
059_clear.jpg,SUCCESS,1.0,1.0,True,132.0,17.0
060_rotated.jpg,SUCCESS,1.0,1.0,True,141.0,18.0
061_damaged.jpg,SUCCESS,1.0,1.0,True,137.0,17.0
062_dark.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
063_reflection.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
064_damaged.jpg,SUCCESS,1.0,1.0,True,147.0,19.0
065_small_text.jpg,SUCCESS,1.0,1.0,True,137.0,17.0
066_clear.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
067_reflection.jpg,SUCCESS,1.0,1.0,True,135.0,17.0
068_rotated.jpg,SUCCESS,1.0,1.0,True,147.0,19.0
069_small_text.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
070_reflection.jpg,SUCCESS,1.0,1.0,True,135.0,17.0
071_clear.jpg,SUCCESS,1.0,1.0,True,138.0,17.0
072_dark.jpg,SUCCESS,1.0,1.0,True,144.0,19.0
073_small_text.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
074_blur.jpg,SUCCESS,1.0,1.0,True,128.0,16.0
075_rotated.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
076_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,152.0,19.0
077_rotated.jpg,SUCCESS,1.0,1.0,True,132.0,17.0
078_rotated.jpg,SUCCESS,1.0,1.0,True,128.0,16.0
079_clear.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
080_clear.jpg,SUCCESS,1.0,1.0,True,151.0,19.0
081_rotated.jpg,SUCCESS,1.0,1.0,True,135.0,17.0
082_clear.jpg,SUCCESS,1.0,1.0,True,137.0,17.0
083_rotated.jpg,SUCCESS,1.0,1.0,True,127.0,16.0
084_clear.jpg,SUCCESS,1.0,1.0,True,150.0,19.0
085_clear.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
086_clear.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
087_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,130.0,16.0
088_blur.jpg,SUCCESS,1.0,1.0,True,153.0,19.0
089_reflection.jpg,SUCCESS,1.0,1.0,True,130.0,16.0
090_clear.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
091_reflection.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
092_damaged.jpg,SUCCESS,1.0,1.0,True,145.0,19.0
093_dark.jpg,SUCCESS,1.0,1.0,True,133.0,17.0
094_small_text.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
095_clear.jpg,SUCCESS,1.0,1.0,True,127.0,16.0
096_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,148.0,19.0
097_dark.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
098_reflection.jpg,SUCCESS,1.0,1.0,True,128.0,16.0
099_small_text.jpg,SUCCESS,0.8571428571428571,0.75,False,139.0,17.0
100_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,150.0,19.0
